,tanggal,kelurahan,avg_ketinggian,jumlah_terdampak_jiwa
407,2020-01,PENGGILINGAN,20.0,0
408,2020-01,PENJARINGAN,20.0,0
409,2020-01,PETAMBURAN,50.0,0
410,2020-01,PETOGOGAN,110.5,0
411,2020-01,PETUKANGAN SELATAN,70.0,0
412,2020-01,PETUKANGAN UTARA,110.5,150
413,2020-01,PINANG RANTI,50.5,120
414,2020-01,PISANGAN BARU,50.5,1200
415,2020-01,PLUIT,42.5,0
416,2020-01,PONDOK BAMBU,90.5,274
417,2020-01,PONDOK KELAPA,120.5,465
418,2020-01,PONDOK KOPI,20.0,220
419,2020-01,PONDOK LABU,50.5,134
420,2020-01,PONDOK PINANG,90.5,962
421,2020-01,PULO,90.0,16
422,2020-01,RAMBUTAN,115.5,65
423,2020-01,RAWA BARAT,110.5,99
424,2020-01,RAWA BUAYA,50.5,2133
425,2020-01,RAWA BUNGA,50.5,4560
426,2020-01,RAWA TERATE,105.0,195
427,2020-01,RAWAJATI,40.0,405
428,2020-01,ROROTAN,80.0,150
429,2020-01,SEMANAN,115.5,2112
430,2020-01,SEMPER BARAT,40.0,574
431,2020-01,SEMPER TIMUR,80.0,120
432,2020-01,SERDANG,20.0,0
433,2020-01,SETU,110.5,47
434,2020-01,SLIPI,50.5,0
435,2020-01,SRENGSENG,110.5,15
436,2020-01,SRENGSENG SAWAH,20.0,372
437,2020-01,SUKA PURA,80.0,278
438,2020-01,SUKABUMI SELATAN,65.0,0
439,2020-01,SUKABUMI UTARA,75.0,0
440,2020-01,SUSUKAN,45.0,1868
441,2020-01,TANJUNG BARAT,50.5,0
442,2020-01,TANJUNG DUREN UTARA,80.0,85
443,2020-01,TEGAL ALUR,90.5,1208
444,2020-01,TEGAL PARANG,90.5,1058
445,2020-01,TENGAH,80.0,0
446,2020-01,TOMANG,50.5,24
447,2020-01,TUGU SELATAN,35.0,0
448,2020-01,UJUNG MENTENG,50.5,70
449,2020-01,ULUJAMI,135.5,321
450,2020-01,UTAN KAYU SELATAN,50.5,0
451,2020-01,WIJAYA KUSUMA,50.5,208
452,2020-02,ANCOL,17.5,0
453,2020-02,BALE KAMBANG,60.0,244
454,2020-02,BAMBU APUS,35.0,0
455,2020-02,BANGKA,20.0,0
456,2020-02,BATU AMPAR,35.0,0
457,2020-02,BENDUNGAN HILIR,35.0,0
458,2020-02,BIDARA CINA,55.0,3904
459,2020-02,BINTARO,20.0,0
460,2020-02,BUKIT DURI,55.0,0
461,2020-02,CAKUNG BARAT,55.0,98
462,2020-02,CAKUNG TIMUR,52.5,630
463,2020-02,CAWANG,80.0,0
464,2020-02,CEMPAKA BARU,35.0,0
465,2020-02,CEMPAKA PUTIH BARAT,25.0,0
466,2020-02,CEMPAKA PUTIH TIMUR,1.5,0
467,2020-02,CENGKARENG BARAT,30.0,0
468,2020-02,CENGKARENG TIMUR,55.0,0
469,2020-02,CIBUBUR,55.0,0
470,2020-02,CIKOKO,17.5,0
471,2020-02,CILANDAK BARAT,65.0,0
472,2020-02,CILANGKAP,27.5,0
473,2020-02,CILILITAN,55.0,0
474,2020-02,CILINCING,25.0,0
475,2020-02,CIPAYUNG,22.5,0
476,2020-02,CIPEDAK,15.0,0
477,2020-02,CIPETE SELATAN,30.0,0
478,2020-02,CIPETE UTARA,15.0,0
479,2020-02,CIPINANG,40.0,0
480,2020-02,CIPINANG BESAR UTARA,15.0,0
481,2020-02,CIPINANG CEMPEDAK,50.0,0
482,2020-02,CIPINANG MELAYU,57.5,13450
483,2020-02,CIPINANG MUARA,45.0,708
484,2020-02,CIPULIR,5.0,0
485,2020-02,DUKUH,17.5,0
486,2020-02,DUREN SAWIT,30.0,0
487,2020-02,DUREN TIGA,30.0,0
488,2020-02,DURI KEPA,20.0,0
489,2020-02,DURI KOSAMBI,25.0,0
490,2020-02,GUNTUR,40.0,0
